Query=YOR250C	 Hit=lcl|EGY16825	" Description=pep:novel supercontig:GCA_000150675.1:supercont1.18:621493:623895:1 gene:VDAG_07989 transcript:EGY16825 description:""Clp1 protein""-species:Verticillium_dahliae"	 E_value=2e-62
			
Query=YOR250C	 Hit=lcl|CAZ85735	" Description=pep:novel supercontig:ASM15164v1:FN430356:355257:356980:1 gene:GSTUM_00010751001 transcript:CAZ85735 description:""""-species:Tuber_melanosporum"	 E_value=5e-61
			
Query=YOR250C	 Hit=lcl|EFQ32056	" Description=pep:novel supercontig:GCA_000149035.1:GG697359:209348:211010:1 gene:GLRG_07200 transcript:EFQ32056 description:""pre-mRNA cleavage complex II protein Clp1""-species:Glomerella_graminicola"	 E_value=1e-59
			
Query=YOR250C	 Hit=lcl|EDU41983	" Description=pep:novel supercontig:GCA_000149985.1:supercont1.10:622394:623925:1 gene:PTRG_08932 transcript:EDU41983 description:""mRNA cleavage and polyadenylation factor IA/II complex""-species:Pyrenophora_triticirepentis"	 E_value=7e-58
			
Query=YOR250C	 Hit=lcl|EPY51856	" Description=pep:novel supercontig:GCA_000004155.2:supercont4.3:610223:612136:-1 gene:SPOG_00278 transcript:EPY51856 description:""mRNA cleavage and polyadenylation specificity factor complex subunit""-species:Schizosaccharomyces_cryophilus"	 E_value=1e-57
			
Query=YOR250C	 Hit=lcl|EPX70695	" Description=pep:novel supercontig:GCA_000150505.2:supercont6.3:652846:654628:-1 gene:SOCG_04261 transcript:EPX70695 description:""mRNA cleavage and polyadenylation specificity factor complex subunit""-species:Schizosaccharomyces_octosporus"	 E_value=6e-57
			
Query=YOR250C	 Hit=lcl|EGR45441	" Description=pep:novel supercontig:GCA_000167675.2:GL985079:482034:483638:1 gene:TRIREDRAFT_23190 transcript:EGR45441 description:""predicted protein""-species:Trichoderma_reesei"	 E_value=1e-56
			
Query=YOR250C	 Hit=lcl|CAG78890	" Description=pep:novel chromosome:GCA_000002525.1:F:3869116:3870468:1 gene:YALI0_F31031g transcript:CAG78890 description:""YALI0F31031p""-species:Yarrowia_lipolytica"	 E_value=9e-56
			
Query=YOR250C	 Hit=lcl|FVEG_06770T0	" Description=pep:known chromosome:ASM14955v1:7:726940:728440:-1 gene:FVEG_06770 transcript:FVEG_06770T0 description:""conserved hypothetical protein""-species:Gibberella_moniliformis"	 E_value=3e-55
			
Query=YOR250C	 Hit=lcl|EFQ86933	" Description=pep:novel supercontig:GCA_000166005.1:GL537212:188956:190486:1 gene:PTT_17730 transcript:EFQ86933 description:""hypothetical protein""-species:Pyrenophora_teres"	 E_value=1e-54
			
Query=YOR250C	 Hit=lcl|B0510_2864T1	" Description=pep:known supercontig:B05.10_v2:Supercontig_1.6:232648:234324:1 gene:B0510_2864 transcript:B0510_2864T1 description:""Protein clp1""-species:Botryotinia_fuckeliana"	 E_value=2e-54
			
Query=YOR250C	 Hit=lcl|EEB06738	" Description=pep:novel supercontig:GCA_000149845.2:supercont5.3:2363703:2366628:-1 gene:SJAG_01791 transcript:EEB06738 description:""mRNA cleavage and polyadenylation specificity factor complex subunit""-species:Schizosaccharomyces_japonicus"	 E_value=4e-53
			
Query=YOR250C	 Hit=lcl|FGSG_04996P0	" Description=pep:known chromosome:ASM24013v2:3:847604:849104:-1 gene:FGSG_04996 transcript:FGSG_04996T0 description:""conserved hypothetical protein""-species:Gibberella_zeae"	 E_value=1e-52
			
Query=YOR250C	 Hit=lcl|SNOT_14068	" Description=pep:known supercontig:ASM14691v1:supercont1.29:384467:386163:1 gene:SNOG_14068 transcript:SNOT_14068 description:""Protein CLP1""-species:Phaeosphaeria_nodorum"	 E_value=3e-52
			
Query=YOR250C	 Hit=lcl|SPAC22H10.05c.1:pep	" Description=pep:known chromosome:ASM294v2:I:2377677:2380412:-1 gene:SPAC22H10.05c transcript:SPAC22H10.05c.1 description:""mRNA cleavage and polyadenylation specificity factor complex subunit (predicted)""-species:Schizosaccharomyces_pombe"	 E_value=2e-51
			
Query=YER133W	 Hit=lcl|CBQ68576	" Description=pep:novel chromosome:GCA_000230245.1:11:268499:269507:1 gene:sr14862 transcript:CBQ68576 description:""Protein phosphatase 2A""-species:Sporisorium_reilianum"	 E_value=1e-94
			
Query=YER133W	 Hit=lcl|UM03957P0	" Description=pep:known supercontig:UM1:Cont_1.136:87693:89253:1 gene:UM03957 transcript:UM03957T0 description:""Serine/threonine-protein phosphatase""-species:Ustilago_maydis"	 E_value=4e-94
			
Query=YER133W	 Hit=lcl|EFP82686	" Description=pep:novel supercontig:ASM14992v1:supercont2.22:577805:579769:1 gene:PGTG_08882 transcript:EFP82686 description:""serine/threonine-protein phosphatase PP2A catalytic subunit""-species:Puccinia_graminis"	 E_value=2e-93
			
